agent,phase,run,seed,level_difficulty,level_type,mario_mode,status,distance,time_left,coins,final_mario_mode,wallclock_s,first_scene_hash
RandomAgent,1-easy,0,1001,0,0,2,0,1195.0,0,7,1,1.535,defcf016795f
RandomAgent,1-easy,1,1001,0,0,2,0,1195.0,0,7,1,1.478,defcf016795f
RandomAgent,1-easy,2,1001,0,0,2,0,604.1339721679688,0,3,2,1.481,defcf016795f
RandomAgent,1-easy,3,1001,0,0,2,0,603.0,21,3,0,0.961,defcf016795f
RandomAgent,1-easy,4,1001,0,0,2,0,1195.0,0,7,1,1.479,defcf016795f
RandomAgent,1-easy,5,1001,0,0,2,0,1196.134033203125,0,7,1,1.479,defcf016795f
RandomAgent,1-easy,6,1001,0,0,2,0,603.0,0,3,2,1.476,defcf016795f
RandomAgent,1-easy,7,1001,0,0,2,0,604.1339721679688,0,3,2,1.475,defcf016795f
RandomAgent,1-easy,8,1001,0,0,2,0,1195.0,0,7,1,1.483,defcf016795f
RandomAgent,1-easy,9,1001,0,0,2,0,604.1339721679688,0,3,2,1.48,defcf016795f
RandomAgent,1-easy,10,1001,0,0,2,0,1196.134033203125,0,7,1,1.474,defcf016795f
RandomAgent,1-easy,11,1001,0,0,2,0,603.0,0,3,2,1.508,defcf016795f
RandomAgent,1-easy,12,1001,0,0,2,0,1195.0,0,7,1,1.474,defcf016795f
RandomAgent,1-easy,13,1001,0,0,2,0,1195.0,0,7,0,1.493,defcf016795f
RandomAgent,1-easy,14,1001,0,0,2,0,604.1339721679688,0,3,2,1.489,defcf016795f
RandomAgent,1-easy,15,1001,0,0,2,0,603.0,0,3,1,1.474,defcf016795f
RandomAgent,1-easy,16,1001,0,0,2,0,604.1339721679688,0,3,2,1.476,defcf016795f
RandomAgent,1-easy,17,1001,0,0,2,0,1196.134033203125,0,7,1,1.481,defcf016795f
RandomAgent,1-easy,18,1001,0,0,2,0,604.1339721679688,0,3,2,1.472,defcf016795f
RandomAgent,1-easy,19,1001,0,0,2,0,603.0,0,3,2,1.477,defcf016795f
RandomAgent,2-medium-A,0,2042,5,0,2,0,203.0,62,0,0,0.487,defcf016795f
RandomAgent,2-medium-A,1,2042,5,0,2,0,203.0,62,0,0,0.449,defcf016795f
RandomAgent,2-medium-A,2,2042,5,0,2,0,203.0,62,0,0,0.443,defcf016795f
RandomAgent,2-medium-A,3,2042,5,0,2,0,203.0,61,0,0,0.452,defcf016795f
RandomAgent,2-medium-A,4,2042,5,0,2,0,203.0,62,0,0,0.462,defcf016795f
RandomAgent,2-medium-A,5,2042,5,0,2,0,203.0,62,0,0,0.44,defcf016795f
RandomAgent,2-medium-A,6,2042,5,0,2,0,203.0,62,0,0,0.441,defcf016795f
RandomAgent,2-medium-A,7,2042,5,0,2,0,203.0,68,0,0,0.288,defcf016795f
RandomAgent,2-medium-A,8,2042,5,0,2,0,203.0,62,0,0,0.44,defcf016795f
RandomAgent,2-medium-A,9,2042,5,0,2,0,203.0,68,0,0,0.287,defcf016795f
RandomAgent,2-medium-A,10,2042,5,0,2,0,203.0,61,0,0,0.45,defcf016795f
RandomAgent,2-medium-A,11,2042,5,0,2,0,203.0,61,0,0,0.451,defcf016795f
RandomAgent,2-medium-A,12,2042,5,0,2,0,203.0,48,0,0,0.78,defcf016795f
RandomAgent,2-medium-A,13,2042,5,0,2,0,203.0,62,0,0,0.44,defcf016795f
RandomAgent,2-medium-A,14,2042,5,0,2,0,203.0,62,0,0,0.448,defcf016795f
RandomAgent,2-medium-A,15,2042,5,0,2,0,203.0,55,0,0,0.61,defcf016795f
RandomAgent,2-medium-A,16,2042,5,0,2,0,203.0,62,0,0,0.438,defcf016795f
RandomAgent,2-medium-A,17,2042,5,0,2,0,203.0,55,0,0,0.607,defcf016795f
RandomAgent,2-medium-A,18,2042,5,0,2,0,203.0,55,0,0,0.606,defcf016795f
RandomAgent,2-medium-A,19,2042,5,0,2,0,203.0,55,0,0,0.611,defcf016795f
RandomAgent,3-medium-B,0,2077,8,1,2,0,507.0,0,0,1,2.52,6af5e02531f5
RandomAgent,3-medium-B,1,2077,8,1,2,0,508.1340026855469,0,0,1,2.508,6af5e02531f5
RandomAgent,3-medium-B,2,2077,8,1,2,0,507.0,0,0,0,2.461,6af5e02531f5
RandomAgent,3-medium-B,3,2077,8,1,2,0,508.1340026855469,0,0,2,2.47,6af5e02531f5
RandomAgent,3-medium-B,4,2077,8,1,2,0,508.1340026855469,0,0,0,2.459,6af5e02531f5
RandomAgent,3-medium-B,5,2077,8,1,2,0,507.0,0,0,2,2.488,6af5e02531f5
RandomAgent,3-medium-B,6,2077,8,1,2,0,507.0,0,0,1,2.462,6af5e02531f5
RandomAgent,3-medium-B,7,2077,8,1,2,0,508.1340026855469,0,0,0,2.458,6af5e02531f5
RandomAgent,3-medium-B,8,2077,8,1,2,0,508.1340026855469,0,0,2,2.458,6af5e02531f5
RandomAgent,3-medium-B,9,2077,8,1,2,0,508.1340026855469,0,0,2,2.462,6af5e02531f5
RandomAgent,3-medium-B,10,2077,8,1,2,0,507.0,0,0,1,2.47,6af5e02531f5
RandomAgent,3-medium-B,11,2077,8,1,2,0,507.0,0,0,1,2.455,6af5e02531f5
RandomAgent,3-medium-B,12,2077,8,1,2,0,507.0,0,0,0,2.472,6af5e02531f5
RandomAgent,3-medium-B,13,2077,8,1,2,0,507.0,0,0,1,2.456,6af5e02531f5
RandomAgent,3-medium-B,14,2077,8,1,2,0,508.1340026855469,0,0,1,2.46,6af5e02531f5
RandomAgent,3-medium-B,15,2077,8,1,2,0,507.0,0,0,2,2.458,6af5e02531f5
RandomAgent,3-medium-B,16,2077,8,1,2,0,508.1340026855469,0,0,2,2.461,6af5e02531f5
RandomAgent,3-medium-B,17,2077,8,1,2,0,508.1340026855469,0,0,2,2.539,6af5e02531f5
RandomAgent,3-medium-B,18,2077,8,1,2,0,507.0,0,0,1,2.493,6af5e02531f5
RandomAgent,3-medium-B,19,2077,8,1,2,0,507.0,0,0,0,2.47,6af5e02531f5
RandomAgent,4-hard-A,0,3013,15,2,1,0,220.13400268554688,0,0,1,2.986,e09ef91baa68
RandomAgent,4-hard-A,1,3013,15,2,1,0,219.0,0,0,1,2.968,e09ef91baa68
RandomAgent,4-hard-A,2,3013,15,2,1,0,220.13400268554688,0,0,1,2.955,e09ef91baa68
RandomAgent,4-hard-A,3,3013,15,2,1,0,219.0,0,0,1,2.964,e09ef91baa68
RandomAgent,4-hard-A,4,3013,15,2,1,0,220.13400268554688,0,0,1,2.957,e09ef91baa68
RandomAgent,4-hard-A,5,3013,15,2,1,0,220.13400268554688,0,0,1,2.958,e09ef91baa68
RandomAgent,4-hard-A,6,3013,15,2,1,0,219.0,0,0,1,2.959,e09ef91baa68
RandomAgent,4-hard-A,7,3013,15,2,1,0,219.0,0,0,1,2.949,e09ef91baa68
RandomAgent,4-hard-A,8,3013,15,2,1,0,219.0,0,0,1,2.945,e09ef91baa68
RandomAgent,4-hard-A,9,3013,15,2,1,0,219.0,0,0,1,2.948,e09ef91baa68
RandomAgent,4-hard-A,10,3013,15,2,1,0,219.0,0,0,1,2.95,e09ef91baa68
RandomAgent,4-hard-A,11,3013,15,2,1,0,220.13400268554688,0,0,1,2.922,e09ef91baa68
RandomAgent,4-hard-A,12,3013,15,2,1,0,220.13400268554688,0,0,1,2.958,e09ef91baa68
RandomAgent,4-hard-A,13,3013,15,2,1,0,219.0,0,0,1,2.957,e09ef91baa68
RandomAgent,4-hard-A,14,3013,15,2,1,0,220.13400268554688,0,0,1,2.954,e09ef91baa68
RandomAgent,4-hard-A,15,3013,15,2,1,0,220.13400268554688,0,0,1,2.939,e09ef91baa68
RandomAgent,4-hard-A,16,3013,15,2,1,0,220.13400268554688,0,0,1,2.952,e09ef91baa68
RandomAgent,4-hard-A,17,3013,15,2,1,0,220.13400268554688,0,0,1,2.965,e09ef91baa68
RandomAgent,4-hard-A,18,3013,15,2,1,0,220.13400268554688,0,0,1,2.957,e09ef91baa68
RandomAgent,4-hard-A,19,3013,15,2,1,0,220.13400268554688,0,0,1,2.973,e09ef91baa68
RandomAgent,5-hard-B,0,3099,20,3,0,0,251.0,0,0,0,3.013,defcf016795f
RandomAgent,5-hard-B,1,3099,20,3,0,0,251.0,0,0,0,2.968,defcf016795f
RandomAgent,5-hard-B,2,3099,20,3,0,0,252.13400268554688,0,0,0,2.973,defcf016795f
RandomAgent,5-hard-B,3,3099,20,3,0,0,252.13400268554688,0,0,0,3.02,defcf016795f
RandomAgent,5-hard-B,4,3099,20,3,0,0,251.0,0,0,0,2.985,defcf016795f
RandomAgent,5-hard-B,5,3099,20,3,0,0,251.0,0,0,0,2.948,defcf016795f
RandomAgent,5-hard-B,6,3099,20,3,0,0,252.13400268554688,0,0,0,2.963,defcf016795f
RandomAgent,5-hard-B,7,3099,20,3,0,0,252.13400268554688,0,0,0,3.034,defcf016795f
RandomAgent,5-hard-B,8,3099,20,3,0,0,252.13400268554688,0,0,0,2.998,defcf016795f
RandomAgent,5-hard-B,9,3099,20,3,0,0,252.13400268554688,0,0,0,2.949,defcf016795f
RandomAgent,5-hard-B,10,3099,20,3,0,0,251.0,0,0,0,2.955,defcf016795f
RandomAgent,5-hard-B,11,3099,20,3,0,0,251.0,0,0,0,2.956,defcf016795f
RandomAgent,5-hard-B,12,3099,20,3,0,0,252.13400268554688,0,0,0,2.937,defcf016795f
RandomAgent,5-hard-B,13,3099,20,3,0,0,251.0,0,0,0,2.973,defcf016795f
RandomAgent,5-hard-B,14,3099,20,3,0,0,251.0,0,0,0,2.949,defcf016795f
RandomAgent,5-hard-B,15,3099,20,3,0,0,252.13400268554688,0,0,0,2.982,defcf016795f
RandomAgent,5-hard-B,16,3099,20,3,0,0,251.0,0,0,0,2.946,defcf016795f
RandomAgent,5-hard-B,17,3099,20,3,0,0,251.0,0,0,0,2.922,defcf016795f
RandomAgent,5-hard-B,18,3099,20,3,0,0,251.0,0,0,0,2.948,defcf016795f
RandomAgent,5-hard-B,19,3099,20,3,0,0,251.0,0,0,0,2.942,defcf016795f
ExploratoryAgent,1-easy,0,1001,0,0,2,0,604.1339721679688,0,3,2,1.556,defcf016795f
ExploratoryAgent,1-easy,1,1001,0,0,2,0,1195.0,0,7,1,1.49,defcf016795f
ExploratoryAgent,1-easy,2,1001,0,0,2,0,1195.0,0,7,1,1.503,defcf016795f
ExploratoryAgent,1-easy,3,1001,0,0,2,0,603.0,0,3,2,1.495,defcf016795f
ExploratoryAgent,1-easy,4,1001,0,0,2,0,1195.0,0,7,1,1.507,defcf016795f
ExploratoryAgent,2-medium-A,0,2042,5,0,2,0,203.0,62,0,0,0.492,defcf016795f
ExploratoryAgent,2-medium-A,1,2042,5,0,2,0,203.0,62,0,0,0.458,defcf016795f
ExploratoryAgent,2-medium-A,2,2042,5,0,2,0,203.0,61,0,0,0.459,defcf016795f
ExploratoryAgent,2-medium-A,3,2042,5,0,2,0,203.0,61,0,0,0.459,defcf016795f
ExploratoryAgent,2-medium-A,4,2042,5,0,2,0,203.0,62,0,0,0.449,defcf016795f
ExploratoryAgent,3-medium-B,0,2077,8,1,2,0,507.0,0,0,1,2.541,6af5e02531f5
ExploratoryAgent,3-medium-B,1,2077,8,1,2,0,507.0,0,0,2,2.512,6af5e02531f5
ExploratoryAgent,3-medium-B,2,2077,8,1,2,0,507.0,0,0,1,2.587,6af5e02531f5
ExploratoryAgent,3-medium-B,3,2077,8,1,2,0,508.1340026855469,0,0,0,2.558,6af5e02531f5
ExploratoryAgent,3-medium-B,4,2077,8,1,2,0,443.0,69,0,0,0.782,6af5e02531f5
ExploratoryAgent,4-hard-A,0,3013,15,2,1,0,219.0,0,0,1,3.093,e09ef91baa68
ExploratoryAgent,4-hard-A,1,3013,15,2,1,0,219.0,0,0,1,3.024,e09ef91baa68
ExploratoryAgent,4-hard-A,2,3013,15,2,1,0,219.0,0,0,1,3.047,e09ef91baa68
ExploratoryAgent,4-hard-A,3,3013,15,2,1,0,219.0,0,0,1,3.016,e09ef91baa68
ExploratoryAgent,4-hard-A,4,3013,15,2,1,0,219.0,0,0,1,3.06,e09ef91baa68
ExploratoryAgent,5-hard-B,0,3099,20,3,0,0,252.13400268554688,0,0,0,3.087,defcf016795f
ExploratoryAgent,5-hard-B,1,3099,20,3,0,0,252.13400268554688,0,0,0,3.021,defcf016795f
ExploratoryAgent,5-hard-B,2,3099,20,3,0,0,251.0,0,0,0,3.061,defcf016795f
ExploratoryAgent,5-hard-B,3,3099,20,3,0,0,252.13400268554688,0,0,0,3.096,defcf016795f
ExploratoryAgent,5-hard-B,4,3099,20,3,0,0,251.0,0,0,0,3.157,defcf016795f
